total,roll,pitch,yaw,,,,,NewTotal
93214.04209,610.2721946,715.9326377,278315.9214, Mag 19, Accel 7, lowestaccel 4, lowestMag 19,1531.603102
135733.0643,692.2428985,714.4886454,405792.4613, Mag 19, Accel 8, lowestaccel 4, lowestMag 19,1590.915142
135803.0271,782.8755173,715.5791385,405910.6266, Mag 19, Accel 9, lowestaccel 4, lowestMag 19,1660.525346
135909.3655,879.969064,718.7547977,406129.3726, Mag 19, Accel 10, lowestaccel 4, lowestMag 19,1738.108995
136041.8059,982.0117133,723.6596389,406419.7463, Mag 19, Accel 11, lowestaccel 4, lowestMag 19,1821.998243
714878.5604,965.7423649,1445.192079,2142224.747, Mag 20, Accel 1, lowestaccel 4, lowestMag 19,2892.094892
387561.977,635.7616603,914.9802523,1161135.189, Mag 20, Accel 2, lowestaccel 4, lowestMag 19,1849.291624
93075.01835,505.2167023,801.0066918,277918.8316, Mag 20, Accel 3, lowestaccel 4, lowestMag 19,1580.422564
50067.63648,474.9320501,763.7973484,148964.18, Mag 20, Accel 4, lowestaccel 4, lowestMag 20,1501.89506
92979.17996,496.3198981,746.7616763,277694.4583, Mag 20, Accel 5, lowestaccel 4, lowestMag 20,1492.382438
92950.02928,546.9171719,737.5899648,277565.5807, Mag 20, Accel 6, lowestaccel 4, lowestMag 20,1516.572826
92997.44538,615.6767963,732.8503121,277643.809, Mag 20, Accel 7, lowestaccel 4, lowestMag 20,1561.033065
135508.7647,696.6544115,731.2693925,405098.3704, Mag 20, Accel 8, lowestaccel 4, lowestMag 20,1619.394897
135576.4955,786.3490538,732.193124,405210.9442, Mag 20, Accel 9, lowestaccel 4, lowestMag 20,1688.051476
135680.0283,882.5247049,735.1790898,405422.3812, Mag 20, Accel 10, lowestaccel 4, lowestMag 20,1764.662163
135808.9834,983.6552124,739.8764339,405703.4186, Mag 20, Accel 11, lowestaccel 4, lowestMag 20,1847.55606
713588.6997,1020.980196,1467.903553,2138277.215, Mag 21, Accel 1, lowestaccel 4, lowestMag 20,2967.590477
470877.2303,660.6060765,932.4949192,1411038.59, Mag 21, Accel 2, lowestaccel 4, lowestMag 20,1894.196936
92881.27272,519.7679929,818.152344,277305.8978, Mag 21, Accel 3, lowestaccel 4, lowestMag 20,1617.054511
49881.09544,485.1770078,780.9691653,148377.1401, Mag 21, Accel 4, lowestaccel 4, lowestMag 21,1535.336504
92791.27194,504.3132906,763.9264934,277105.576, Mag 21, Accel 5, lowestaccel 4, lowestMag 21,1524.124708
92760.92265,553.4493044,754.6882216,276974.6304, Mag 21, Accel 6, lowestaccel 4, lowestMag 21,1547.119311
92807.68377,621.0741601,749.8350474,277052.1421, Mag 21, Accel 7, lowestaccel 4, lowestMag 21,1590.558191
135311.8641,701.0559706,748.1056403,404486.4305, Mag 21, Accel 8, lowestaccel 4, lowestMag 21,1647.950438
93562.41959,789.8124897,748.8541597,279148.5921, Mag 21, Accel 9, lowestaccel 4, lowestMag 21,1715.640607
93657.00569,885.0724392,751.6440566,279334.3006, Mag 21, Accel 10, lowestaccel 4, lowestMag 21,1791.270414
93789.41187,985.2942316,756.1288322,279626.8125, Mag 21, Accel 11, lowestaccel 4, lowestMag 21,1873.163922
712376.569,1077.623988,1489.546893,2134562.536, Mag 22, Accel 1, lowestaccel 4, lowestMag 21,3042.53833
554111.9621,685.7459921,950.0689462,1660700.071, Mag 22, Accel 2, lowestaccel 4, lowestMag 21,1939.412913
92711.23135,534.4114423,835.4441958,276763.8384, Mag 22, Accel 3, lowestaccel 4, lowestMag 21,1653.974875
49717.30314,495.4548311,798.2664603,147858.1881, Mag 22, Accel 4, lowestaccel 4, lowestMag 22,1568.990814
92625.94385,512.3155907,781.1899234,276584.326, Mag 22, Accel 5, lowestaccel 4, lowestMag 22,1556.021578
