4906.844098,2764.172146,3245.241779,8711.11837, Mag 5, Accel 2, lowestaccel 1, lowestMag 5,
7363.378995,5993.802518,3246.015353,12850.31911, Mag 7, Accel 11, lowestaccel 1, lowestMag 7,
7337.731599,5996.636849,3251.389247,12765.1687, Mag 6, Accel 11, lowestaccel 1, lowestMag 6,
4895.645881,2769.675982,3254.559437,8662.702225, Mag 6, Accel 2, lowestaccel 1, lowestMag 6,
7297.819172,5999.638849,3256.853154,12636.96551, Mag 5, Accel 11, lowestaccel 1, lowestMag 5,
7232.633053,6002.918067,3262.419383,12432.56171, Mag 4, Accel 11, lowestaccel 1, lowestMag 4,
4890.134967,2775.468775,3263.803677,8631.132449, Mag 7, Accel 2, lowestaccel 1, lowestMag 7,
3981.79963,1527.478955,3265.092102,7152.827833, Mag 5, Accel 1, lowestaccel 1, lowestMag 5,
7116.586007,6006.272005,3268.106299,12075.37972, Mag 3, Accel 11, lowestaccel 1, lowestMag 3,
4888.511401,2781.506032,3272.909885,8611.118285, Mag 8, Accel 2, lowestaccel 1, lowestMag 8,
6928.121222,6009.578363,3273.93715,11500.84815, Mag 2, Accel 11, lowestaccel 1, lowestMag 2,
6968.502481,6012.712721,3279.949842,11612.84488, Mag 1, Accel 11, lowestaccel 1, lowestMag 1,
4889.141938,2787.644736,3281.818544,8597.962535, Mag 9, Accel 2, lowestaccel 1, lowestMag 9,
3944.684858,1543.883291,3289.293152,7000.87813, Mag 6, Accel 1, lowestaccel 1, lowestMag 6,
4890.971341,2793.901575,3290.488838,8588.523611, Mag 10, Accel 2, lowestaccel 1, lowestMag 9,
4894.646853,2800.344912,3298.894269,8584.701379, Mag 11, Accel 2, lowestaccel 1, lowestMag 9,
4899.342209,2807.190149,3307.017278,8583.8192, Mag 12, Accel 2, lowestaccel 1, lowestMag 9,
3923.78536,1561.348535,3312.515245,6897.492301, Mag 7, Accel 1, lowestaccel 1, lowestMag 7,
4904.685153,2814.612108,3314.849215,8584.594136, Mag 13, Accel 2, lowestaccel 1, lowestMag 9,
4910.57483,2823.024578,3322.393093,8586.306818, Mag 14, Accel 2, lowestaccel 1, lowestMag 9,
4916.869221,2832.173364,3329.644676,8588.789624, Mag 15, Accel 2, lowestaccel 1, lowestMag 9,
3913.191151,1579.646483,3334.886648,6825.040324, Mag 8, Accel 1, lowestaccel 1, lowestMag 8,
4923.620269,2841.719147,3336.613709,8592.52795, Mag 16, Accel 2, lowestaccel 1, lowestMag 9,
4930.763005,2851.554436,3343.307458,8597.427122, Mag 17, Accel 2, lowestaccel 1, lowestMag 9,
4938.053231,2861.481976,3349.735598,8602.94212, Mag 18, Accel 2, lowestaccel 1, lowestMag 9,
4945.541188,2871.634005,3355.90378,8609.085779, Mag 19, Accel 2, lowestaccel 1, lowestMag 9,
3909.842717,1598.371604,3356.491086,6774.665461, Mag 9, Accel 1, lowestaccel 1, lowestMag 9,
4953.191105,2881.816288,3361.825426,8615.931602, Mag 20, Accel 2, lowestaccel 1, lowestMag 9,
4960.852796,2892.265832,3367.507594,8622.784962, Mag 21, Accel 2, lowestaccel 1, lowestMag 9,
4968.646394,2902.876358,3372.961456,8630.101369, Mag 22, Accel 2, lowestaccel 1, lowestMag 9,
3911.937399,1617.71999,3377.389723,6740.702485, Mag 10, Accel 1, lowestaccel 1, lowestMag 9,
4976.487991,2913.523029,3378.197337,8637.743608, Mag 23, Accel 2, lowestaccel 1, lowestMag 9,
4984.339308,2924.295872,3383.222441,8645.49961, Mag 24, Accel 2, lowestaccel 1, lowestMag 9,
3917.640302,1637.273918,3397.632013,6718.014974, Mag 11, Accel 1, lowestaccel 1, lowestMag 9,
3925.853177,1656.89936,3417.251049,6703.40912, Mag 12, Accel 1, lowestaccel 1, lowestMag 9,
3935.930149,1676.887622,3436.273725,6694.629101, Mag 13, Accel 1, lowestaccel 1, lowestMag 9,
3947.219288,1697.117289,3454.728373,6689.812203, Mag 14, Accel 1, lowestaccel 1, lowestMag 9,
3959.443853,1717.464427,3472.628642,6688.238489, Mag 15, Accel 1, lowestaccel 1, lowestMag 9,
3972.408438,1737.883621,3489.98986,6689.351833, Mag 16, Accel 1, lowestaccel 1, lowestMag 9,
3985.900997,1758.385032,3506.824807,6692.493152, Mag 17, Accel 1, lowestaccel 1, lowestMag 9,
3999.649572,1778.830586,3523.157247,6696.960884, Mag 18, Accel 1, lowestaccel 1, lowestMag 9,
4013.720977,1799.274097,3538.984899,6702.903933, Mag 19, Accel 1, lowestaccel 1, lowestMag 9,
