Total,Roll,Pitch,Yaw,,,,,new total
Total: 6416.74901268089,5156.585005,3040.343081,11053.31895, Mag 29, Accel 59, lowestaccel 8, lowestMag 29,11826.94456
Total: 6317.66681741953,5034.396163,3040.346715,10878.25757, Mag 11, Accel 55, lowestaccel 10, lowestMag 11,11699.47573
Total: 8250.2805460929,4812.040847,3040.434941,16898.36585, Mag 5, Accel 49, lowestaccel 8, lowestMag 5,12101.54323
Total: 6040.9630818564,4727.13278,3040.438767,10355.3177, Mag 13, Accel 47, lowestaccel 10, lowestMag 13,11370.82881
Total: 6934.33652779377,5000.584051,3040.450781,12761.97475, Mag 8, Accel 54, lowestaccel 9, lowestMag 8,11857.62468
Total: 5983.5204798556,4682.141047,3040.651341,10227.76905, Mag 18, Accel 46, lowestaccel 9, lowestMag 18,11318.00653
Total: 6316.49002088589,5128.099098,3040.756511,10780.61445, Mag 23, Accel 58, lowestaccel 8, lowestMag 23,11774.86366
Total: 6042.96999780279,4634.997648,3040.809683,10453.10266, Mag 25, Accel 45, lowestaccel 8, lowestMag 25,11298.42752
Total: 6174.8795139101,5066.999544,3040.840669,10416.79833, Mag 14, Accel 56, lowestaccel 10, lowestMag 14,11683.66076
Total: 8289.46590165084,4965.593217,3040.856756,16861.94773, Mag 5, Accel 53, lowestaccel 8, lowestMag 5,12236.94218
Total: 4100.48019964345,1300.494972,3040.871149,7960.074478, Mag 27, Accel 7, lowestaccel 7, lowestMag 27,8048.19522
Total: 6867.67306679595,4770.295512,3040.942073,12791.78162, Mag 8, Accel 48, lowestaccel 9, lowestMag 8,11654.32827
Total: 9631.30006282531,4929.423695,3040.947223,20923.52927, Mag 3, Accel 52, lowestaccel 8, lowestMag 3,12610.7287
Total: 6404.84374329016,5156.914963,3041.016061,11016.60021, Mag 28, Accel 59, lowestaccel 8, lowestMag 28,11824.91561
Total: 10456.0923200533,4891.918227,3041.048829,23435.3099, Mag 2, Accel 51, lowestaccel 7, lowestMag 2,12828.35505
Total: 6213.2284838236,5098.324842,3041.080321,10500.28029, Mag 18, Accel 57, lowestaccel 9, lowestMag 18,11720.68103
Total: 6096.86114230106,4727.196784,3041.082542,10522.3041, Mag 12, Accel 47, lowestaccel 10, lowestMag 12,11388.8726
Total: 10449.8590015585,4852.91516,3041.145529,23455.51632, Mag 2, Accel 50, lowestaccel 7, lowestMag 2,12795.46633
Total: 6440.08241323086,5034.53705,3041.16078,11244.54941, Mag 10, Accel 55, lowestaccel 9, lowestMag 10,11737.85985
Total: 5975.4523608342,4682.288937,3041.216527,10202.85162, Mag 17, Accel 46, lowestaccel 9, lowestMag 17,11316.77826
Total: 8878.30107234383,4812.157932,3041.218472,18781.52681, Mag 4, Accel 49, lowestaccel 8, lowestMag 4,12291.53176
Total: 7315.72865899825,5000.695688,3041.274293,13905.216, Mag 7, Accel 54, lowestaccel 9, lowestMag 7,11973.69631
Total: 6032.32778932702,4635.222072,3041.293654,10420.46764, Mag 24, Accel 45, lowestaccel 8, lowestMag 24,11296.33394
Total: 6300.97864853062,5128.395508,3041.467509,10733.07293, Mag 22, Accel 58, lowestaccel 8, lowestMag 22,11771.79827
Total: 6202.87540703942,5067.167724,3041.632914,10499.82558, Mag 13, Accel 56, lowestaccel 10, lowestMag 13,11693.69934
Total: 7250.79913484965,4770.306561,3041.67734,13940.4135, Mag 7, Accel 48, lowestaccel 9, lowestMag 7,11770.67193
Total: 8913.92191520468,4965.77253,3041.689415,18734.3038, Mag 4, Accel 53, lowestaccel 8, lowestMag 4,12426.00449
Total: 6392.31719051277,5157.241272,3041.695979,10978.01432, Mag 27, Accel 59, lowestaccel 8, lowestMag 27,11822.71053
Total: 6183.10057608219,4727.238549,3041.741495,10780.32168, Mag 11, Accel 47, lowestaccel 10, lowestMag 11,11416.02985
Total: 10462.2556570514,4929.707942,3041.785553,23415.27348, Mag 2, Accel 52, lowestaccel 7, lowestMag 2,12861.8356
Total: 6021.01456731461,4635.437372,3041.786685,10385.81964, Mag 23, Accel 45, lowestaccel 8, lowestMag 23,11294.04897
Total: 5972.89899584643,4682.419147,3041.79217,10194.48567, Mag 16, Accel 46, lowestaccel 9, lowestMag 16,11317.21014
Total: 6197.82013437722,5098.562766,3041.835091,10453.06255, Mag 17, Accel 57, lowestaccel 9, lowestMag 17,11717.68293
Total: 11388.1661825885,4892.260223,3041.855786,26230.38254, Mag 1, Accel 51, lowestaccel 7, lowestMag 1,13109.78403
Total: 11383.7597522573,4853.243251,3041.946732,26256.08927, Mag 1, Accel 50, lowestaccel 7, lowestMag 1,13077.42132
Total: 6652.14977866711,5034.667285,3041.987556,11879.7945, Mag 9, Accel 55, lowestaccel 9, lowestMag 9,11803.15512
Total: 9608.16070530434,4812.335628,3042.016497,20970.12999, Mag 3, Accel 49, lowestaccel 8, lowestMag 3,12512.14806
Total: 7766.97401864802,5000.820039,3042.103413,15257.9986, Mag 6, Accel 54, lowestaccel 9, lowestMag 6,12110.74472
Total: 6284.5313833927,5128.683747,3042.18715,10682.72325, Mag 21, Accel 58, lowestaccel 8, lowestMag 21,11768.462
Total: 6009.12814840947,4635.643587,3042.290642,10349.45022, Mag 22, Accel 45, lowestaccel 8, lowestMag 22,11291.60553
Total: 5976.11719024661,4682.530319,3042.3795,10203.44175, Mag 15, Accel 46, lowestaccel 9, lowestMag 15,11319.38046
Total: 6322.70290301182,4727.26019,3042.417588,11198.43093, Mag 10, Accel 47, lowestaccel 9, lowestMag 10,11459.21244
Total: 7704.62994017659,4770.329426,3042.431263,15301.12913, Mag 6, Accel 48, lowestaccel 9, lowestMag 6,11908.27192
Total: 6253.58239386764,5067.330099,3042.435832,10650.98125, Mag 12, Accel 56, lowestaccel 10, lowestMag 12,11710.56688
Total: 6067.717847907,4586.490748,3042.497831,10574.16497, Mag 31, Accel 44, lowestaccel 8, lowestMag 31,11270.25383
Total: 9638.94092989551,4966.008647,3042.523838,20908.29031, Mag 3, Accel 53, lowestaccel 8, lowestMag 3,12645.28449
Total: 6187.47770016188,5098.78681,3042.59971,10421.04658, Mag 16, Accel 57, lowestaccel 9, lowestMag 16,11716.21221
Total: 11392.5141423562,4930.052103,3042.606494,26204.88383, Mag 1, Accel 52, lowestaccel 7, lowestMag 1,13142.74826
Total: 6459.78007224186,5185.45428,3042.645707,11151.24023, Mag 31, Accel 60, lowestaccel 8, lowestMag 31,11867.32429
Total: 5996.6398051528,4635.839646,3042.803058,10311.27671, Mag 21, Accel 45, lowestaccel 8, lowestMag 21,11288.98947
Total: 10443.7678441965,4812.582133,3042.823581,23475.89782, Mag 2, Accel 49, lowestaccel 7, lowestMag 2,12764.56086
Total: 6945.03135462681,5034.791704,3042.823662,12757.4787, Mag 8, Accel 55, lowestaccel 9, lowestMag 8,11892.70773
Total: 6060.09767670457,4586.733265,3042.888516,10550.67125, Mag 30, Accel 44, lowestaccel 8, lowestMag 30,11268.9041
Total: 6267.35313513034,5128.963214,3042.914299,10630.18189, Mag 20, Accel 58, lowestaccel 8, lowestMag 20,11764.91368
Total: 8299.02207160567,5000.973139,3042.935688,16853.15739, Mag 5, Accel 54, lowestaccel 8, lowestMag 5,12272.06294
Total: 5988.59849815171,4682.620956,3042.979725,10240.19481, Mag 14, Accel 46, lowestaccel 10, lowestMag 14,11324.33779
Total: 6365.62208557782,5157.882235,3043.0766,10895.90742, Mag 25, Accel 59, lowestaccel 8, lowestMag 25,11817.83795
Total: 6546.5453465581,4727.263917,3043.110396,11869.26173, Mag 9, Accel 47, lowestaccel 9, lowestMag 9,11527.68449
Total: 8240.45615712925,4770.379579,3043.202299,16907.78659, Mag 5, Accel 48, lowestaccel 8, lowestMag 5,12070.52488
Total: 6333.45450912184,5067.488014,3043.248147,10889.62737, Mag 11, Accel 56, lowestaccel 10, lowestMag 11,11736.19824
Total: 6052.02550233006,4586.97197,3043.291432,10525.8131, Mag 29, Accel 44, lowestaccel 8, lowestMag 29,11267.43895
Total: 6448.84334971557,5185.795135,3043.317202,11117.41771, Mag 30, Accel 60, lowestaccel 8, lowestMag 30,11865.5918
Total: 5983.90907316881,4636.02313,3043.326141,10272.37795, Mag 20, Accel 45, lowestaccel 8, lowestMag 20,11286.31089
Total: 10468.3621913246,4966.307046,3043.362989,23395.41654, Mag 2, Accel 53, lowestaccel 7, lowestMag 2,12895.94397
Total: 6184.55604758799,5098.997014,3043.373382,10411.29775, Mag 15, Accel 57, lowestaccel 9, lowestMag 15,11716.97385
Total: 6021.19681459467,4682.689627,3043.592416,10337.3084, Mag 13, Accel 46, lowestaccel 10, lowestMag 13,11335.33634
Total: 11379.5106735718,4812.894173,3043.627911,26282.00994, Mag 1, Accel 49, lowestaccel 7, lowestMag 1,13047.06157
Total: 6249.69576190142,5129.232395,3043.650279,10576.20461, Mag 19, Accel 58, lowestaccel 9, lowestMag 19,11761.23017
Total: 7326.1300161837,5034.918893,3043.667949,13899.80321, Mag 7, Accel 55, lowestaccel 9, lowestMag 7,12008.74322
Total: 6043.63587954619,4587.206308,3043.719429,10499.9819, Mag 28, Accel 44, lowestaccel 8, lowestMag 28,11265.92272
Total: 8922.58687971261,5001.168223,3043.768606,18722.82381, Mag 4, Accel 54, lowestaccel 8, lowestMag 4,12460.87099
Total: 6351.40339478769,5158.194682,3043.777278,10852.23822, Mag 24, Accel 59, lowestaccel 8, lowestMag 24,11815.15359
Total: 6856.10347892061,4727.255899,3043.821298,12797.23324, Mag 8, Accel 47, lowestaccel 9, lowestMag 8,11621.89623
Total: 5971.33483007348,4636.19353,3043.858627,10233.95233, Mag 19, Accel 45, lowestaccel 9, lowestMag 19,11283.68666
Total: 8869.37823576604,4770.475982,3043.991797,18793.66693, Mag 4, Accel 48, lowestaccel 8, lowestMag 4,12260.77867
Total: 6437.4391930549,5186.133692,3043.995173,11082.18871, Mag 29, Accel 60, lowestaccel 8, lowestMag 29,11863.72954
Total: 6454.40566432617,5067.639017,3044.070448,11251.50753, Mag 10, Accel 56, lowestaccel 9, lowestMag 10,11774.16676
Total: 6191.99302646225,5099.191247,3044.156645,10432.63119, Mag 14, Accel 57, lowestaccel 10, lowestMag 14,11720.84853
Total: 6034.89607698353,4587.43566,3044.157344,10473.09523, Mag 27, Accel 44, lowestaccel 8, lowestMag 27,11264.31631
Total: 11396.8154421516,4966.664349,3044.182729,26179.59925, Mag 1, Accel 53, lowestaccel 7, lowestMag 1,13176.3233
Total: 6077.79221862434,4682.735667,3044.218969,10506.42202, Mag 12, Accel 46, lowestaccel 10, lowestMag 12,11353.54224
Total: 5294.05343579138,1290.697878,3044.317718,11547.14471, Mag 11, Accel 8, lowestaccel 8, lowestMag 11,8404.977998
Total: 3883.81452296076,1368.790899,3044.383099,7238.269571, Mag 47, Accel 6, lowestaccel 7, lowestMag 46,8044.504964
Total: 6232.14519670545,5129.490575,3044.394351,10522.55066, Mag 18, Accel 58, lowestaccel 9, lowestMag 18,11757.58529
Total: 5960.25298542276,4636.348498,3044.401768,10200.00869, Mag 18, Accel 45, lowestaccel 9, lowestMag 18,11281.51805
Total: 6336.47103433227,5158.50153,3044.485588,10806.42598, Mag 23, Accel 59, lowestaccel 8, lowestMag 23,11812.26515
Total: 7776.94400915885,5035.059177,3044.516545,15251.25631, Mag 6, Accel 55, lowestaccel 9, lowestMag 6,12145.71198
Total: 7239.51495613905,4727.245732,3044.551193,13946.74794, Mag 7, Accel 47, lowestaccel 9, lowestMag 7,11738.29834
Total: 9646.40488332027,5001.419545,3044.599921,20893.19518, Mag 3, Accel 54, lowestaccel 8, lowestMag 3,12679.79695
Total: 6425.32841952098,5186.469359,3044.679732,11044.83617, Mag 28, Accel 60, lowestaccel 8, lowestMag 28,11861.6655
Total: 9600.46656431397,4770.634216,3044.799699,20985.96578, Mag 3, Accel 48, lowestaccel 8, lowestMag 3,12481.76677
Total: 6164.8738247551,4682.758498,3044.859737,10767.00324, Mag 11, Accel 46, lowestaccel 10, lowestMag 11,11380.90245
Total: 6664.80952184883,5067.783142,3044.902139,11881.74329, Mag 9, Accel 56, lowestaccel 9, lowestMag 9,11838.98343
Total: 6219.55804033956,5099.37039,3044.95024,10514.35349, Mag 13, Accel 57, lowestaccel 10, lowestMag 13,11730.76918
Total: 5953.06539596344,4636.487854,3044.954826,10177.75351, Mag 17, Accel 45, lowestaccel 9, lowestMag 17,11280.52407
Total: 6015.95339409827,4587.876134,3045.060507,10414.92354, Mag 25, Accel 44, lowestaccel 8, lowestMag 25,11260.70189
Total: 4077.71083110115,1301.089858,3045.073195,7886.96944, Mag 28, Accel 7, lowestaccel 7, lowestMag 28,8049.824206
Total: 6216.19494501137,5129.736628,3045.147876,10473.70033, Mag 17, Accel 58, lowestaccel 9, lowestMag 17,11754.42875
Total: 6320.77843080172,5158.801026,3045.20144,10758.33283, Mag 22, Accel 59, lowestaccel 8, lowestMag 22,11809.15709
Total: 7693.77036743171,4727.245887,3045.299892,15308.76532, Mag 6, Accel 47, lowestaccel 9, lowestMag 6,11875.99761
Total: 8308.36584126171,5035.227903,3045.367571,16844.50205, Mag 5, Accel 55, lowestaccel 8, lowestMag 5,12306.89046
Total: 6412.60254773745,5186.801735,3045.371081,11005.63483, Mag 27, Accel 60, lowestaccel 8, lowestMag 27,11859.42721
Total: 10474.297780475,5001.731944,3045.425496,23375.7359, Mag 2, Accel 54, lowestaccel 7, lowestMag 2,12929.98333
Total: 6307.41544545338,4682.75981,3045.516303,11193.97022, Mag 10, Accel 46, lowestaccel 9, lowestMag 10,11424.91346
Total: 5951.21909314753,4636.60876,3045.520071,10171.52845, Mag 16, Accel 45, lowestaccel 9, lowestMag 16,11281.14087
Total: 6005.64135108242,4588.094231,3045.526373,10383.30345, Mag 24, Accel 44, lowestaccel 8, lowestMag 24,11258.6679
Total: 10437.6492939353,4770.861733,3045.622296,23496.46385, Mag 2, Accel 48, lowestaccel 7, lowestMag 2,12734.66654
Total: 6955.59211701707,5067.921553,3045.742244,12753.11255, Mag 8, Accel 56, lowestaccel 9, lowestMag 8,11927.92514
Total: 6269.78360775495,5099.533362,3045.753666,10664.0638, Mag 12, Accel 57, lowestaccel 10, lowestMag 12,11747.49374
Total: 6205.20777321892,5129.969644,3045.909953,10439.74372, Mag 16, Accel 58, lowestaccel 9, lowestMag 16,11752.76696
Total: 6304.09134210457,5159.09378,3045.924714,10707.25553, Mag 21, Accel 59, lowestaccel 8, lowestMag 21,11805.75938
Total: 5994.69926667514,4588.304475,3046.002316,10349.79101, Mag 23, Accel 44, lowestaccel 8, lowestMag 23,11256.45776
Total: 8230.22686798415,4727.274136,3046.067309,16917.33916, Mag 5, Accel 47, lowestaccel 8, lowestMag 5,12038.41526
Total: 5955.06586455008,4636.710433,3046.097653,10182.38951, Mag 15, Accel 45, lowestaccel 9, lowestMag 15,11283.47365
Total: 6532.61389403004,4682.742601,3046.189347,11868.90973, Mag 9, Accel 46, lowestaccel 9, lowestMag 9,11493.73801
Total: 8931.04483404213,5035.439005,3046.216686,18711.47881, Mag 4, Accel 55, lowestaccel 8, lowestMag 4,12495.47636
Total: 11400.9541599717,5002.10109,3046.232426,26154.52896, Mag 1, Accel 54, lowestaccel 7, lowestMag 1,13209.80873
Total: 11375.2492343926,4771.157499,3046.43864,26308.15156, Mag 1, Accel 48, lowestaccel 7, lowestMag 1,13017.73419
Total: 5983.18555442443,4588.50537,3046.487272,10314.56402, Mag 22, Accel 44, lowestaccel 8, lowestMag 22,11254.08578
Total: 6349.00343989742,5099.68111,3046.56746,10900.76175, Mag 11, Accel 57, lowestaccel 10, lowestMag 11,11772.92409
Total: 7336.38979335263,5068.063669,3046.588251,13894.51746, Mag 7, Accel 56, lowestaccel 9, lowestMag 7,12043.88555
Total: 6286.70264030439,5159.377625,3046.656361,10654.07393, Mag 20, Accel 59, lowestaccel 8, lowestMag 20,11802.15998
Total: 6480.3725122649,5214.120281,3046.666349,11180.33091, Mag 31, Accel 61, lowestaccel 8, lowestMag 31,11904.07404
Total: 6201.78542527138,5130.188555,3046.682062,10428.48566, Mag 15, Accel 58, lowestaccel 9, lowestMag 15,11753.38239
Total: 5968.02470700805,4636.801131,3046.687906,10220.58508, Mag 14, Accel 45, lowestaccel 10, lowestMag 14,11288.55534
Total: 6385.60007184676,5187.454142,3046.774166,10922.57191, Mag 25, Accel 60, lowestaccel 8, lowestMag 25,11854.51425
Total: 8860.04651145364,4727.348569,3046.856704,18805.93426, Mag 4, Accel 47, lowestaccel 8, lowestMag 4,12228.92055
Total: 6844.1406098408,4682.712553,3046.879912,12802.82936, Mag 8, Accel 46, lowestaccel 9, lowestMag 8,11588.48406
Total: 5971.14768113261,4588.695689,3046.982711,10277.76464, Mag 21, Accel 44, lowestaccel 8, lowestMag 21,11251.56801
Total: 9653.67296831039,5035.703973,3047.060117,20878.25482, Mag 3, Accel 55, lowestaccel 8, lowestMag 3,12714.07929
Total: 6001.10813181195,4636.870347,3047.290301,10319.16375, Mag 13, Accel 45, lowestaccel 10, lowestMag 13,11299.68029
Total: 6469.31140520422,5214.466152,3047.335923,11146.13214, Mag 30, Accel 61, lowestaccel 8, lowestMag 30,11902.3046
Total: 6468.61093652187,5099.815741,3047.390748,11258.62632, Mag 10, Accel 57, lowestaccel 9, lowestMag 10,11810.4783
Total: 6268.73108548756,5159.652168,3047.395591,10599.1455, Mag 19, Accel 59, lowestaccel 9, lowestMag 19,11798.39268
Total: 7786.76480180557,5068.220983,3047.437223,15244.6362, Mag 6, Accel 56, lowestaccel 9, lowestMag 6,12180.73695
Total: 6208.66554506583,5130.392892,3047.463792,10448.13995, Mag 14, Accel 58, lowestaccel 10, lowestMag 14,11757.09518
Total: 6371.19107199716,5187.7727,3047.486228,10878.31429, Mag 24, Accel 60, lowestaccel 8, lowestMag 24,11851.79931
Total: 5958.86106795008,4588.873309,3047.487206,10240.22269, Mag 20, Accel 44, lowestaccel 8, lowestMag 20,11248.98266
Total: 6038.04856730896,4537.802992,3047.535192,10528.80752, Mag 31, Accel 43, lowestaccel 8, lowestMag 31,11231.97383
Total: 7227.82924363418,4682.67957,3047.589214,13953.21895, Mag 7, Accel 46, lowestaccel 9, lowestMag 7,11704.91193
Total: 9592.36340860986,4727.485579,3047.666792,21001.93785, Mag 3, Accel 47, lowestaccel 8, lowestMag 3,12450.26439
Total: 10480.0506838039,5036.037109,3047.892399,23356.22254, Mag 2, Accel 55, lowestaccel 7, lowestMag 2,12963.84045
Total: 6030.73270211791,4538.039207,3047.894135,10506.26476, Mag 30, Accel 43, lowestaccel 8, lowestMag 30,11230.65003
Total: 6058.38204001257,4636.916662,3047.905484,10490.32397, Mag 12, Accel 45, lowestaccel 10, lowestMag 12,11318.06836
Total: 5946.84110123764,4589.038583,3048.001726,10203.48299, Mag 19, Accel 44, lowestaccel 9, lowestMag 19,11246.48648
Total: 6457.73708949261,5214.809509,3048.011714,11110.39005, Mag 29, Accel 61, lowestaccel 8, lowestMag 29,11900.39099
Total: 6250.8461888318,5159.91604,3048.143172,10544.47936, Mag 18, Accel 59, lowestaccel 9, lowestMag 18,11794.65871
Total: 6356.05176575549,5188.085646,3048.205499,10831.86415, Mag 23, Accel 60, lowestaccel 8, lowestMag 23,11848.8745
Total: 6677.28561077996,5099.946112,3048.223181,11883.68754, Mag 9, Accel 57, lowestaccel 9, lowestMag 9,11874.76662
Total: 6235.80036207293,5130.582083,3048.255577,10528.56343, Mag 13, Accel 58, lowestaccel 10, lowestMag 13,11766.89137
Total: 6023.01286414241,4538.271448,3048.262985,10482.50416, Mag 29, Accel 43, lowestaccel 8, lowestMag 29,11229.22069
Total: 8317.55579560842,5068.416284,3048.286312,16835.96479, Mag 5, Accel 56, lowestaccel 8, lowestMag 5,12341.74376
Total: 7682.50500564142,4682.656249,3048.318995,15316.53977, Mag 6, Accel 46, lowestaccel 9, lowestMag 6,11842.68259
Total: 10431.1276757472,4727.694339,3048.494316,23517.19437, Mag 2, Accel 47, lowestaccel 7, lowestMag 2,12703.63298
Total: 5936.51856059603,4589.188282,3048.526568,10171.84083, Mag 18, Accel 44, lowestaccel 9, lowestMag 18,11244.50667
Total: 3877.1281556189,1369.378544,3048.53427,7213.471654, Mag 48, Accel 6, lowestaccel 7, lowestMag 47,8050.856394
Total: 6146.26489552314,4636.940619,3048.535031,10753.31904, Mag 11, Accel 45, lowestaccel 10, lowestMag 11,11345.64852
Total: 6014.9102377036,4538.498933,3048.64188,10457.5899, Mag 28, Accel 43, lowestaccel 8, lowestMag 28,11227.69179
Total: 6445.42444547947,5215.150658,3048.693667,11072.42901, Mag 28, Accel 61, lowestaccel 8, lowestMag 28,11898.26583
Total: 11404.9335044075,5036.431115,3048.699953,26129.66945, Mag 1, Accel 55, lowestaccel 7, lowestMag 1,13243.15485
Total: 5104.4979047042,1291.948047,3048.749952,10972.79572, Mag 12, Accel 8, lowestaccel 8, lowestMag 12,8357.532717
Total: 6234.42408067113,5160.168186,3048.899637,10494.20442, Mag 17, Accel 59, lowestaccel 9, lowestMag 17,11791.37108
Total: 6340.13134620896,5188.392007,3048.932309,10783.06972, Mag 22, Accel 60, lowestaccel 8, lowestMag 22,11845.7244
Total: 6006.44634424992,4538.72212,3049.030533,10431.58638, Mag 27, Accel 43, lowestaccel 8, lowestMag 27,11226.06961
Total: 6285.56376147455,5130.764172,3049.059007,10676.86811, Mag 12, Accel 58, lowestaccel 10, lowestMag 12,11783.49258
Total: 5930.18175006048,4589.321447,3049.061771,10152.16203, Mag 17, Accel 44, lowestaccel 9, lowestMag 17,11243.72905
Total: 6966.01094498954,5100.096002,3049.063231,12748.8736, Mag 8, Accel 57, lowestaccel 9, lowestMag 8,11963.10022
