Total,Roll,Pitch,Yaw,,,,,new total
Total: 4634.02193556125,1979.841947,2620.647873,9301.575986, Mag 33, Accel 3, lowestaccel 7, lowestMag 32,7953.311097
Total: 5431.87472896113,1693.6628,2622.702312,11979.25907, Mag 13, Accel 4, lowestaccel 10, lowestMag 12,7967.627052
Total: 4776.76108722568,2329.212204,2624.205514,9376.865544, Mag 54, Accel 2, lowestaccel 7, lowestMag 53,8282.388565
Total: 4615.32881316569,1979.562862,2626.903001,9239.520576, Mag 34, Accel 3, lowestaccel 7, lowestMag 33,7959.364636
Total: 4770.64503592706,2328.868264,2630.199539,9352.867306, Mag 55, Accel 2, lowestaccel 7, lowestMag 54,8291.667245
Total: 5301.98052666245,1694.34615,2630.244831,11581.3506, Mag 14, Accel 4, lowestaccel 10, lowestMag 13,7943.536257
Total: 4597.85056663944,1979.282058,2633.147224,9181.122418, Mag 35, Accel 3, lowestaccel 7, lowestMag 34,7965.760542
Total: 4764.78733101651,2328.529617,2636.165352,9329.667025, Mag 56, Accel 2, lowestaccel 7, lowestMag 55,8300.974061
Total: 5188.60361846947,1694.914018,2637.689942,11233.2069, Mag 15, Accel 4, lowestaccel 10, lowestMag 14,7924.123189
Total: 4581.49483560549,1979.012279,2639.383103,9126.089125, Mag 36, Accel 3, lowestaccel 7, lowestMag 35,7972.48617
Total: 4759.18551303012,2328.202756,2642.113808,9307.239975, Mag 57, Accel 2, lowestaccel 7, lowestMag 56,8310.334094
Total: 5089.0938187581,1695.39365,2645.037994,10926.84981, Mag 16, Accel 4, lowestaccel 9, lowestMag 15,7908.615255
Total: 4566.15352484754,1978.747526,2645.582949,9074.1301, Mag 37, Accel 3, lowestaccel 7, lowestMag 36,7979.451681
Total: 4753.83382354023,2327.892573,2648.055948,9285.55295, Mag 58, Accel 2, lowestaccel 7, lowestMag 57,8319.770506
Total: 4551.740499434,1978.490475,2651.733807,9024.997216, Mag 38, Accel 3, lowestaccel 7, lowestMag 37,7986.608764
Total: 5001.27499206569,1695.788079,2652.288878,10655.74802, Mag 17, Accel 4, lowestaccel 9, lowestMag 16,7896.361828
Total: 4748.70600998444,2327.593446,2653.964384,9264.5602, Mag 59, Accel 2, lowestaccel 7, lowestMag 58,8329.218889
Total: 4538.19265549112,1978.239788,2657.87317,8978.465009, Mag 39, Accel 3, lowestaccel 7, lowestMag 38,7994.00865
Total: 4923.38340107834,1696.114305,2659.448185,10414.58771, Mag 18, Accel 4, lowestaccel 9, lowestMag 17,7886.858015
Total: 4743.78327905946,2327.297048,2659.846102,9244.206687, Mag 60, Accel 2, lowestaccel 7, lowestMag 59,8338.680217
Total: 4525.44263369137,1978.00336,2663.976531,8934.348011, Mag 40, Accel 3, lowestaccel 7, lowestMag 39,8001.590886
Total: 4853.95863475054,1696.382958,2666.509278,10198.98367, Mag 19, Accel 4, lowestaccel 9, lowestMag 18,7879.661585
Total: 4513.41041048873,1977.765952,2670.035137,8892.430143, Mag 41, Accel 3, lowestaccel 7, lowestMag 40,8009.302645
Total: 4791.79617763004,1696.59386,2673.48707,10005.3076, Mag 20, Accel 4, lowestaccel 9, lowestMag 19,7874.439375
Total: 4502.06070576221,1977.543756,2676.053712,8852.584649, Mag 42, Accel 3, lowestaccel 7, lowestMag 41,8017.155269
Total: 4735.90311634298,1696.764305,2680.375865,9830.569179, Mag 21, Accel 4, lowestaccel 8, lowestMag 20,7870.896523
Total: 4491.34026072947,1977.332719,2682.034814,8814.653249, Mag 43, Accel 3, lowestaccel 7, lowestMag 42,8025.134401
